x_pixel,y_pixel,y_normalized
28,909.95,0.133380
29,908.28,0.134974
30,907.84,0.135392
31,907.40,0.135811
38,903.47,0.139553
39,903.47,0.139553
40,903.47,0.139553
41,903.47,0.139553
43,915.34,0.128247
44,919.30,0.124475
46,921.66,0.122227
47,921.66,0.122227
48,921.66,0.122227
49,921.66,0.122227
64,886.96,0.155278
66,869.58,0.171829
67,869.58,0.171829
86,869.58,0.171829
88,886.96,0.155278
91,886.96,0.155278
92,903.24,0.139773
93,903.24,0.139773
95,971.26,0.074994
96,976.25,0.070242
97,903.24,0.139773
98,898.22,0.144550
99,898.22,0.144550
104,553.97,0.472409
105,553.97,0.472409
106,553.97,0.472409
107,553.97,0.472409
108,556.68,0.469826
109,557.83,0.468730
110,558.78,0.467833
111,559.49,0.467149
112,560.06,0.466606
113,560.70,0.465997
114,561.68,0.465067
117,569.63,0.457498
118,570.46,0.456705
119,570.87,0.456313
120,570.88,0.456302
121,571.21,0.455991
122,571.44,0.455772
123,572.10,0.455147
124,572.75,0.454524
125,573.03,0.454261
126,573.27,0.454031
127,573.39,0.453916
128,573.71,0.453613
129,574.69,0.452677
130,574.69,0.452677
131,574.69,0.452677
132,574.69,0.452677
133,574.69,0.452677
134,574.69,0.452677
135,574.68,0.452689
136,574.67,0.452697
137,574.61,0.452750
138,574.61,0.452750
139,574.61,0.452750
140,574.50,0.452861
141,574.35,0.453005
142,574.16,0.453179
143,573.79,0.453536
144,573.09,0.454196
145,572.91,0.454368
146,572.57,0.454695
147,572.28,0.454973
148,572.04,0.455198
149,571.70,0.455524
150,571.09,0.456106
151,570.50,0.456669
152,569.80,0.457333
153,569.32,0.457792
154,568.60,0.458472
155,567.76,0.459280
156,566.97,0.460027
157,566.11,0.460849
158,565.06,0.461844
159,563.42,0.463410
160,560.94,0.465768
161,559.03,0.467589
162,549.52,0.476644
163,547.22,0.478841
164,544.92,0.481024
165,542.73,0.483114
166,542.73,0.483114
167,542.84,0.483008
168,542.84,0.483008
169,542.84,0.483008
170,542.84,0.483008
171,543.16,0.482704
172,544.71,0.481227
212,880.62,0.161315
213,881.44,0.160534
239,882.09,0.159912
240,882.74,0.159295
241,882.74,0.159295
242,882.74,0.159295
243,882.74,0.159295
244,882.78,0.159252
245,882.91,0.159132
246,882.91,0.159132
247,882.91,0.159132
248,882.78,0.159252
249,882.10,0.159907
250,882.07,0.159929
253,881.67,0.160313
254,881.67,0.160313
258,881.22,0.160746
261,881.22,0.160746
262,878.84,0.163012
263,878.84,0.163012
264,881.67,0.160313
265,881.71,0.160273
266,881.71,0.160273
267,881.83,0.160165
268,881.83,0.160165
269,881.83,0.160165
270,881.86,0.160130
271,881.93,0.160069
272,881.98,0.160016
273,882.13,0.159877
274,882.05,0.159953
275,882.05,0.159953
276,882.05,0.159953
277,882.05,0.159953
278,881.80,0.160187
279,881.80,0.160187
280,881.80,0.160187
281,881.80,0.160187
282,881.97,0.160030
283,882.43,0.159591
284,882.63,0.159403
285,882.67,0.159358
286,882.78,0.159259
287,883.00,0.159045
288,883.07,0.158982
289,883.07,0.158982
290,883.07,0.158982
291,883.07,0.158982
292,883.07,0.158982
293,883.05,0.158996
294,883.02,0.159030
295,882.91,0.159133
296,882.91,0.159134
297,882.72,0.159315
298,882.63,0.159398
299,882.47,0.159556
300,882.47,0.159556
301,882.63,0.159398
302,882.72,0.159315
303,883.53,0.158541
304,883.59,0.158490
305,883.59,0.158490
306,883.59,0.158490
307,883.59,0.158490
308,882.95,0.159094
309,882.79,0.159243
310,882.71,0.159325
311,882.71,0.159325
312,882.71,0.159325
313,882.78,0.159259
314,882.79,0.159243
315,883.03,0.159020
316,883.12,0.158929
317,883.19,0.158867
318,883.21,0.158849
319,883.21,0.158849
320,883.21,0.158849
321,883.19,0.158867
322,883.60,0.158473
323,883.57,0.158509
324,883.57,0.158509
325,883.57,0.158509
326,883.57,0.158509
327,883.63,0.158448
328,883.69,0.158393
329,883.66,0.158420
330,883.66,0.158420
331,883.63,0.158448
