x_pixel,y_pixel,y_normalized
31,764.14,0.272249
45,960.23,0.085498
49,960.51,0.085226
50,960.23,0.085498
58,517.25,0.507376
59,507.85,0.516330
65,504.96,0.519086
66,504.96,0.519086
67,504.96,0.519086
68,504.96,0.519086
69,507.85,0.516330
73,507.85,0.516330
74,502.35,0.521575
75,511.19,0.513156
76,511.19,0.513156
77,511.19,0.513156
87,511.19,0.513156
88,511.19,0.513156
100,600.23,0.428351
101,609.34,0.419676
102,620.09,0.409438
109,620.09,0.409438
110,609.34,0.419676
111,609.34,0.419676
118,609.34,0.419676
119,609.34,0.419676
129,504.96,0.519086
130,504.76,0.519272
134,504.76,0.519272
135,504.76,0.519272
136,504.73,0.519301
137,504.68,0.519349
138,504.62,0.519413
139,504.53,0.519496
140,504.34,0.519678
141,504.14,0.519870
142,503.98,0.520015
143,503.86,0.520136
144,502.65,0.521285
145,501.48,0.522399
146,501.48,0.522399
147,501.48,0.522399
148,501.48,0.522399
149,503.80,0.520193
150,506.24,0.517864
151,506.76,0.517373
152,507.23,0.516923
153,507.63,0.516544
154,508.26,0.515938
155,508.94,0.515293
156,509.49,0.514770
157,510.38,0.513927
158,511.84,0.512536
159,513.20,0.511235
160,514.26,0.510229
161,516.17,0.508407
162,518.57,0.506125
163,520.31,0.504470
164,521.31,0.503510
165,522.20,0.502671
166,523.11,0.501804
167,524.39,0.500580
168,525.39,0.499633
169,525.92,0.499123
170,527.10,0.498001
171,528.47,0.496692
172,530.39,0.494865
173,532.01,0.493328
174,533.28,0.492119
175,534.15,0.491287
176,534.15,0.491287
177,534.15,0.491287
178,534.15,0.491287
179,533.16,0.492231
180,531.63,0.493687
182,303.57,0.710887
183,299.66,0.714608
184,297.20,0.716955
186,286.97,0.726695
187,283.79,0.729722
188,280.11,0.733231
190,271.29,0.741630
191,266.07,0.746600
192,266.07,0.746600
196,266.07,0.746600
197,264.06,0.748510
198,247.15,0.764619
199,244.15,0.767475
202,226.89,0.783919
203,222.64,0.787966
204,220.05,0.790431
206,213.45,0.796718
207,208.65,0.801285
208,206.26,0.803561
213,186.99,0.821913
214,185.34,0.823484
215,181.90,0.826758
218,181.90,0.826758
219,181.90,0.826758
220,172.76,0.835466
223,169.93,0.838161
224,166.77,0.841173
225,149.95,0.857191
226,146.99,0.860011
227,143.91,0.862939
231,127.04,0.879014
232,127.04,0.879014
233,127.04,0.879014
246,127.04,0.879014
249,858.96,0.181941
250,862.49,0.178585
261,864.56,0.176613
262,876.16,0.165565
263,876.16,0.165565
264,876.16,0.165565
265,878.81,0.163037
266,879.92,0.161979
267,879.92,0.161979
268,879.92,0.161979
269,879.92,0.161979
270,879.81,0.162082
271,879.68,0.162208
272,879.66,0.162232
273,879.63,0.162255
274,879.62,0.162271
275,879.50,0.162385
276,879.50,0.162385
277,879.50,0.162385
278,879.50,0.162385
279,879.73,0.162162
280,879.91,0.161994
281,880.04,0.161868
282,880.04,0.161868
283,880.04,0.161868
284,880.04,0.161868
285,879.58,0.162305
286,879.33,0.162540
287,878.96,0.162895
288,878.72,0.163126
289,878.72,0.163126
290,878.72,0.163126
291,878.69,0.163153
292,878.39,0.163434
293,878.39,0.163434
294,878.11,0.163704
295,878.08,0.163735
296,878.08,0.163735
297,878.08,0.163735
298,878.08,0.163735
299,878.40,0.163431
300,878.70,0.163141
301,879.01,0.162845
302,879.05,0.162812
303,879.06,0.162798
304,879.10,0.162765
305,879.15,0.162710
306,879.18,0.162689
307,879.19,0.162675
308,879.19,0.162675
309,879.19,0.162672
310,879.19,0.162672
311,879.19,0.162672
312,879.19,0.162672
313,879.19,0.162673
314,879.16,0.162701
315,879.11,0.162752
316,879.10,0.162764
317,879.10,0.162764
318,879.10,0.162764
319,878.99,0.162864
320,878.99,0.162870
321,878.93,0.162920
322,878.85,0.163000
323,878.47,0.163359
324,878.30,0.163520
325,877.96,0.163850
326,877.91,0.163895
327,877.91,0.163895
328,877.91,0.163895
329,877.91,0.163895
330,878.91,0.162944
331,878.96,0.162896
332,879.02,0.162836
333,879.08,0.162783
334,879.19,0.162676
335,879.31,0.162563
336,879.33,0.162546
337,879.33,0.162546
338,879.33,0.162546
339,879.33,0.162546
340,879.28,0.162592
341,879.21,0.162660
342,879.17,0.162694
343,879.17,0.162694
344,879.17,0.162694
345,879.17,0.162694
346,879.23,0.162635
347,879.30,0.162567
348,879.30,0.162567
349,879.30,0.162567
350,879.30,0.162567
351,878.84,0.163010
352,878.22,0.163599
353,878.08,0.163734
354,878.08,0.163734
355,878.08,0.163734
356,878.02,0.163793
357,878.02,0.163793
358,878.02,0.163793
359,877.43,0.164353
360,877.13,0.164636
361,877.13,0.164636
362,877.13,0.164636
363,877.43,0.164353
364,877.61,0.164185
365,877.61,0.164185
366,877.61,0.164185
367,877.61,0.164183
375,877.63,0.164166
376,877.64,0.164152
377,877.70,0.164091
378,877.88,0.163928
379,877.88,0.163928
380,877.88,0.163928
381,877.88,0.163928
383,877.61,0.164182
384,877.46,0.164320
385,877.34,0.164439
386,877.16,0.164608
387,877.16,0.164608
390,877.16,0.164608
391,876.76,0.164992
393,876.10,0.165615
394,876.10,0.165615
395,876.10,0.165615
396,876.10,0.165615
397,876.69,0.165056
398,876.77,0.164983
399,876.93,0.164832
400,877.15,0.164622
401,877.37,0.164414
402,877.66,0.164137
403,878.20,0.163619
404,878.20,0.163619
405,878.20,0.163619
406,878.20,0.163619
407,878.03,0.163783
408,877.72,0.164073
409,877.71,0.164088
410,877.61,0.164178
411,877.57,0.164223
412,877.45,0.164336
413,877.19,0.164577
414,877.18,0.164593
415,876.54,0.165201
416,876.54,0.165201
417,876.54,0.165201
418,876.54,0.165201
419,876.54,0.165201
420,876.62,0.165119
421,876.63,0.165110
422,876.64,0.165108
426,876.70,0.165045
427,877.03,0.164733
428,878.05,0.163765
435,878.15,0.163666
436,878.15,0.163666
437,878.15,0.163666
438,878.15,0.163666
439,877.26,0.164513
440,877.26,0.164513
441,877.26,0.164513
442,877.26,0.164513
443,877.31,0.164465
444,877.31,0.164465
445,877.31,0.164465
446,877.31,0.164465
447,877.96,0.163848
448,877.96,0.163848
449,877.96,0.163848
450,877.96,0.163848
451,878.12,0.163697
452,878.12,0.163697
453,878.12,0.163697
454,878.12,0.163697
457,877.69,0.164101
458,876.90,0.164853
459,876.90,0.164853
460,876.89,0.164866
461,876.89,0.164866
462,876.89,0.164866
463,876.89,0.164866
464,876.89,0.164866
465,876.89,0.164866
466,876.83,0.164925
467,876.73,0.165017
468,876.50,0.165238
469,876.48,0.165260
470,876.48,0.165260
471,876.48,0.165260
472,876.48,0.165260
473,876.48,0.165260
474,877.12,0.164652
475,877.16,0.164610
476,877.17,0.164603
477,877.17,0.164603
478,877.17,0.164603
479,877.16,0.164610
480,876.86,0.164896
481,876.15,0.165574
482,876.10,0.165621
483,876.09,0.165631
484,876.09,0.165631
485,876.09,0.165631
486,876.10,0.165621
487,876.41,0.165327
488,876.59,0.165155
489,876.80,0.164948
490,876.89,0.164869
491,876.90,0.164854
492,877.18,0.164590
493,877.52,0.164266
494,877.63,0.164165
495,877.64,0.164156
496,877.64,0.164156
497,877.64,0.164156
498,877.63,0.164165
499,876.97,0.164789
500,876.57,0.165167
501,876.57,0.165167
502,876.57,0.165167
503,876.57,0.165167
504,876.72,0.165030
505,876.72,0.165030
506,876.72,0.165030
507,876.72,0.165030
508,876.37,0.165357
509,875.84,0.165862
510,875.79,0.165911
511,875.79,0.165911
512,875.79,0.165911
513,875.84,0.165862
514,875.84,0.165862
515,875.70,0.166002
516,875.78,0.165922
517,875.87,0.165842
518,875.84,0.165869
519,875.78,0.165922
520,875.70,0.166002
521,875.46,0.166226
522,875.23,0.166451
523,874.72,0.166930
524,874.72,0.166930
525,874.72,0.166930
526,874.72,0.166930
527,875.16,0.166516
530,875.16,0.166516
531,875.16,0.166516
532,875.16,0.166516
535,531.83,0.493496
536,526.81,0.498278
537,518.02,0.506646
538,518.02,0.506646
539,518.02,0.506646
540,518.02,0.506646
541,874.60,0.167049
542,875.47,0.166219
543,876.14,0.165578
544,876.28,0.165447
545,876.63,0.165117
546,876.82,0.164933
547,876.97,0.164793
548,876.97,0.164793
549,876.97,0.164793
