x_pixel,y_pixel,y_normalized
32,917.38,0.126306
33,917.64,0.126058
34,919.41,0.124369
39,918.26,0.125468
40,921.19,0.122680
41,924.02,0.119980
42,924.02,0.119980
43,921.19,0.122680
44,918.26,0.125468
45,896.32,0.146364
46,895.22,0.147411
49,895.22,0.147411
50,895.22,0.147411
51,896.32,0.146364
52,915.57,0.128031
53,917.41,0.126272
54,918.61,0.125136
55,918.61,0.125136
56,917.41,0.126272
57,915.57,0.128031
58,789.95,0.247666
59,789.17,0.248407
64,758.89,0.277248
73,504.64,0.519393
74,504.64,0.519393
75,504.64,0.519393
76,504.64,0.519393
84,923.42,0.120553
85,924.60,0.119432
86,930.90,0.113425
87,930.90,0.113425
88,930.90,0.113425
92,930.90,0.113425
93,929.97,0.114312
94,539.02,0.486650
95,539.01,0.486658
96,539.01,0.486658
97,539.01,0.486658
98,539.02,0.486650
99,539.02,0.486650
100,539.02,0.486650
101,540.83,0.484928
102,541.66,0.484130
103,541.66,0.484130
104,548.09,0.478008
105,551.52,0.474747
106,557.63,0.468925
107,561.05,0.465663
108,561.05,0.465663
109,561.05,0.465663
110,561.63,0.465117
111,561.63,0.465117
112,562.52,0.464266
113,565.40,0.461527
114,566.94,0.460059
115,568.48,0.458588
116,569.83,0.457306
117,570.97,0.456221
118,571.50,0.455712
119,571.89,0.455341
120,571.98,0.455261
121,571.98,0.455256
122,572.06,0.455177
123,572.10,0.455144
124,572.39,0.454867
125,572.67,0.454602
126,572.85,0.454425
127,572.94,0.454344
128,573.10,0.454194
129,573.32,0.453985
130,573.57,0.453743
131,573.57,0.453743
132,573.57,0.453743
133,573.57,0.453743
134,573.25,0.454046
135,573.25,0.454046
136,573.25,0.454046
137,573.25,0.454046
138,573.22,0.454080
139,573.22,0.454080
140,573.22,0.454080
141,573.22,0.454080
142,572.50,0.454761
143,571.88,0.455350
144,571.22,0.455977
145,570.91,0.456278
146,570.40,0.456765
147,569.89,0.457243
148,569.67,0.457454
149,569.60,0.457522
150,568.93,0.458164
151,567.98,0.459069
152,567.06,0.459943
153,566.33,0.460636
156,563.06,0.463748
157,562.11,0.464652
158,562.01,0.464752
160,554.11,0.472281
161,548.86,0.477273
162,548.86,0.477273
163,548.86,0.477273
164,548.86,0.477273
194,871.69,0.169817
195,873.09,0.168481
196,873.14,0.168441
197,873.35,0.168234
198,873.35,0.168234
199,873.35,0.168234
200,873.35,0.168234
201,873.35,0.168234
202,872.79,0.168773
203,871.30,0.170188
204,871.30,0.170188
205,871.30,0.170188
206,871.30,0.170188
207,872.02,0.169506
208,872.02,0.169506
209,872.02,0.169506
210,872.02,0.169506
211,871.89,0.169628
212,871.85,0.169666
213,871.80,0.169718
214,871.78,0.169731
215,871.68,0.169833
216,871.67,0.169842
217,871.62,0.169884
218,871.62,0.169884
219,871.67,0.169842
220,871.68,0.169833
221,871.87,0.169650
222,872.25,0.169281
223,872.33,0.169209
224,872.76,0.168796
225,872.76,0.168796
226,872.76,0.168796
227,872.76,0.168796
228,873.37,0.168219
229,873.37,0.168219
230,873.37,0.168219
231,873.20,0.168378
232,873.20,0.168378
233,873.20,0.168378
234,873.20,0.168378
235,872.96,0.168605
236,872.96,0.168605
237,872.96,0.168605
238,872.96,0.168605
239,874.85,0.166811
240,875.25,0.166428
241,875.46,0.166224
242,875.46,0.166224
243,875.46,0.166224
244,875.25,0.166428
250,870.74,0.170722
251,870.49,0.170962
252,870.12,0.171311
253,869.79,0.171628
256,869.79,0.171628
257,869.79,0.171628
259,870.12,0.171311
263,870.63,0.170826
264,872.17,0.169363
266,872.17,0.169363
267,872.17,0.169363
268,872.17,0.169363
269,870.95,0.170521
270,870.34,0.171106
271,870.34,0.171108
272,869.88,0.171538
273,869.62,0.171793
274,869.27,0.172121
275,868.98,0.172397
276,868.98,0.172397
277,868.98,0.172397
278,868.98,0.172397
279,869.34,0.172058
280,869.65,0.171763
281,869.75,0.171670
282,869.81,0.171608
283,870.60,0.170859
284,870.88,0.170592
285,870.94,0.170535
286,870.94,0.170535
289,870.94,0.170535
290,870.90,0.170574
291,870.88,0.170592
296,870.88,0.170592
298,870.90,0.170574
300,870.45,0.171002
301,869.05,0.172338
302,869.55,0.171854
303,870.45,0.171002
309,870.59,0.170865
310,870.59,0.170865
311,870.59,0.170865
312,871.00,0.170473
313,871.06,0.170419
314,871.06,0.170419
315,871.06,0.170419
316,871.99,0.169533
317,871.99,0.169533
318,872.38,0.169165
319,872.38,0.169165
324,871.94,0.169585
353,871.94,0.169585
354,872.42,0.169119
355,872.18,0.169357
356,872.35,0.169188
357,872.35,0.169188
358,872.35,0.169188
359,872.42,0.169119
360,872.77,0.168794
361,872.77,0.168794
372,872.77,0.168794
373,872.77,0.168794
374,872.82,0.168743
375,872.82,0.168743
376,872.79,0.168771
377,872.72,0.168834
378,872.79,0.168771
379,872.82,0.168743
380,872.82,0.168743
381,873.07,0.168508
382,873.44,0.168148
383,873.45,0.168141
384,874.35,0.167290
385,876.92,0.164838
386,932.93,0.111492
387,932.93,0.111492
388,932.93,0.111492
389,932.93,0.111492
390,932.29,0.112105
391,931.87,0.112506
392,931.45,0.112908
393,930.88,0.113445
394,930.31,0.113990
395,929.78,0.114493
396,929.29,0.114965
397,928.67,0.115552
398,928.19,0.116013
399,927.33,0.116829
400,927.33,0.116829
401,926.86,0.117277
402,926.32,0.117789
403,925.45,0.118621
404,924.96,0.119082
405,923.87,0.120124
406,922.81,0.121133
407,922.81,0.121133
409,922.81,0.121133
410,922.81,0.121133
411,925.17,0.118886
412,937.88,0.106784
413,937.88,0.106784
414,937.88,0.106784
415,937.88,0.106784
416,935.37,0.109176
417,928.41,0.115803
418,928.41,0.115803
419,928.41,0.115803
420,925.90,0.118194
421,925.39,0.118675
422,924.46,0.119559
424,925.90,0.118194
425,931.99,0.112394
426,934.09,0.110393
427,944.79,0.100203
428,944.93,0.100063
429,945.06,0.099942
430,945.15,0.099860
431,945.15,0.099860
432,945.15,0.099860
433,945.15,0.099860
434,870.80,0.170671
435,870.80,0.170671
436,870.80,0.170671
437,870.80,0.170671
438,871.61,0.169891
439,871.61,0.169891
440,871.61,0.169891
441,871.61,0.169891
442,871.56,0.169945
443,871.56,0.169945
444,871.56,0.169945
445,871.56,0.169945
446,872.67,0.168888
447,873.37,0.168223
448,873.75,0.167861
449,912.26,0.131181
450,912.66,0.130802
451,913.22,0.130266
452,918.04,0.125672
453,920.52,0.123312
454,921.57,0.122312
455,921.90,0.121999
456,922.00,0.121908
457,922.35,0.121573
458,922.46,0.121463
459,922.49,0.121436
460,922.66,0.121277
461,922.69,0.121248
462,922.72,0.121218
463,922.86,0.121083
464,926.24,0.117863
465,927.09,0.117054
466,927.09,0.117054
467,927.09,0.117054
468,927.09,0.117054
469,924.98,0.119070
470,922.95,0.121003
471,921.71,0.122180
472,920.50,0.123336
473,920.50,0.123336
474,920.49,0.123341
475,919.55,0.124236
476,919.49,0.124298
477,875.15,0.166519
479,871.52,0.169980
480,870.03,0.171400
481,870.03,0.171400
482,870.03,0.171400
483,870.03,0.171400
484,943.78,0.101163
485,943.78,0.101163
486,943.78,0.101163
487,943.78,0.101163
488,943.74,0.101202
489,943.54,0.101389
490,943.31,0.101606
491,943.27,0.101647
492,943.19,0.101719
493,943.09,0.101815
497,873.69,0.167917
498,873.09,0.168483
499,872.68,0.168881
500,872.23,0.169302
501,872.18,0.169351
502,871.78,0.169731
503,871.77,0.169740
504,871.75,0.169762
505,871.75,0.169762
506,871.75,0.169762
507,871.75,0.169762
508,871.90,0.169621
509,871.95,0.169574
510,872.48,0.169063
511,873.19,0.168389
512,873.32,0.168263
513,873.32,0.168263
515,873.32,0.168263
516,873.32,0.168263
522,871.55,0.169955
523,871.55,0.169955
524,871.55,0.169955
525,871.03,0.170447
526,871.55,0.169955
527,871.97,0.169549
528,872.43,0.169110
534,872.52,0.169025
535,874.49,0.167157
536,923.82,0.120175
537,924.98,0.119067
538,926.90,0.117240
539,927.95,0.116238
540,927.95,0.116238
541,927.95,0.116238
542,927.95,0.116238
543,928.14,0.116056
544,928.34,0.115868
545,927.73,0.116450
546,927.67,0.116505
547,927.43,0.116738
548,926.70,0.117431
549,926.70,0.117431
550,875.41,0.166278
551,875.41,0.166278
552,875.41,0.166278
553,875.41,0.166278
554,924.73,0.119301
555,924.73,0.119301
556,924.73,0.119301
557,924.73,0.119301
558,922.94,0.121006
559,922.94,0.121006
560,922.94,0.121006
561,922.94,0.121006
562,941.91,0.102944
563,942.46,0.102415
564,943.06,0.101850
565,943.06,0.101850
566,943.06,0.101850
567,943.06,0.101850
568,936.34,0.108247
569,929.39,0.114866
570,926.23,0.117877
571,926.23,0.117877
572,926.23,0.117877
573,926.23,0.117877
574,928.21,0.115991
575,928.40,0.115807
576,928.40,0.115807
577,928.40,0.115807
578,928.25,0.115956
579,928.25,0.115956
580,928.40,0.115807
581,928.48,0.115733
582,928.25,0.115956
583,920.78,0.123067
584,924.37,0.119649
585,925.32,0.118747
586,925.32,0.118747
587,925.32,0.118747
588,925.32,0.118747
589,926.23,0.117881
590,927.47,0.116694
591,928.30,0.115901
592,929.00,0.115242
593,929.00,0.115242
594,929.00,0.115242
595,930.24,0.114062
596,930.31,0.113990
597,930.31,0.113990
603,942.87,0.102025
604,942.87,0.102025
605,942.87,0.102025
606,942.87,0.102025
607,938.07,0.106602
608,934.63,0.109876
609,934.02,0.110458
610,933.82,0.110645
611,933.11,0.111320
628,876.73,0.165019
629,875.49,0.166197
643,871.61,0.169896
657,871.53,0.169967
659,868.98,0.172397
661,867.77,0.173548
662,867.77,0.173548
663,867.77,0.173548
664,868.98,0.172397
665,870.04,0.171394
666,873.26,0.168326
667,873.97,0.167650
668,873.97,0.167650
669,873.97,0.167650
670,873.97,0.167650
671,873.69,0.167916
672,870.41,0.171038
675,870.41,0.171038
676,870.41,0.171038
677,870.41,0.171038
682,871.47,0.170026
683,871.54,0.169965
684,872.56,0.168993
685,872.56,0.168986
686,872.56,0.168986
687,872.56,0.168993
688,872.56,0.168993
689,872.56,0.168986
690,872.56,0.168986
691,872.67,0.168884
692,872.87,0.168698
693,872.92,0.168647
694,873.00,0.168569
