x_pixel,y_pixel,y_normalized
28,906.50,0.136665
30,906.81,0.136371
31,906.50,0.136665
32,906.19,0.136959
33,906.19,0.136959
34,906.19,0.136959
35,914.88,0.128681
41,917.70,0.126005
42,917.70,0.126005
43,919.98,0.123828
44,920.75,0.123092
45,921.09,0.122768
46,921.09,0.122768
47,921.09,0.122768
48,919.98,0.123828
51,778.07,0.258978
52,775.90,0.261050
53,775.53,0.261404
56,769.43,0.267209
57,767.45,0.269092
59,767.45,0.269092
60,767.45,0.269092
62,769.43,0.267209
63,770.34,0.266344
64,775.87,0.261073
65,790.39,0.247247
70,888.82,0.153501
71,888.82,0.153501
72,888.82,0.153501
73,889.95,0.152426
74,888.82,0.153501
75,888.43,0.153879
76,888.43,0.153879
77,888.43,0.153879
78,913.30,0.130194
80,925.56,0.118511
81,925.56,0.118511
82,925.56,0.118511
83,925.56,0.118511
84,874.10,0.167525
85,873.89,0.167725
86,873.85,0.167763
87,872.86,0.168708
88,872.86,0.168708
89,873.85,0.167763
90,873.85,0.167763
91,872.86,0.168708
92,871.91,0.169606
93,863.50,0.177622
95,835.73,0.204066
96,827.43,0.211969
101,541.64,0.484154
102,539.52,0.486170
103,539.52,0.486170
104,539.45,0.486243
105,539.34,0.486340
106,539.34,0.486340
107,539.34,0.486340
108,539.45,0.486243
110,539.55,0.486139
120,569.13,0.457973
121,570.33,0.456828
122,571.08,0.456112
123,571.98,0.455254
124,575.75,0.451666
125,575.75,0.451666
126,575.75,0.451666
127,575.75,0.451666
128,574.58,0.452778
129,573.31,0.453991
130,573.31,0.453991
131,573.31,0.453991
132,573.31,0.453991
133,573.45,0.453857
134,573.68,0.453642
135,573.81,0.453510
136,574.77,0.452598
137,574.77,0.452596
138,574.77,0.452596
139,574.77,0.452596
140,574.95,0.452428
141,574.95,0.452424
142,574.95,0.452424
143,574.93,0.452445
144,574.93,0.452445
145,574.98,0.452397
146,576.03,0.451402
147,886.27,0.155933
148,886.31,0.155896
149,886.31,0.155896
150,886.31,0.155896
151,886.31,0.155896
152,886.00,0.156190
153,885.61,0.156563
154,885.61,0.156563
155,885.61,0.156563
156,885.61,0.156563
157,885.86,0.156326
158,885.86,0.156326
159,885.86,0.156326
160,885.91,0.156273
161,885.91,0.156273
162,885.91,0.156273
163,885.93,0.156253
164,885.99,0.156199
165,886.01,0.156185
166,886.74,0.155487
167,887.43,0.154830
168,887.94,0.154343
169,887.94,0.154343
170,887.94,0.154343
171,887.94,0.154343
172,887.40,0.154857
173,886.91,0.155328
174,886.76,0.155471
175,886.76,0.155471
176,886.53,0.155687
177,886.48,0.155738
178,886.33,0.155881
179,886.33,0.155881
180,886.33,0.155881
181,885.78,0.156397
