x_pixel,y_pixel,y_normalized
27,993.92,0.053410
28,993.89,0.053438
29,964.63,0.081303
30,935.37,0.109168
31,935.37,0.109168
32,898.48,0.144307
33,898.48,0.144307
34,898.48,0.144307
35,898.48,0.144307
36,898.07,0.144697
37,898.07,0.144697
38,897.27,0.145458
39,789.41,0.248179
40,789.41,0.248179
41,789.41,0.248179
42,789.41,0.248179
44,949.16,0.096042
45,949.16,0.096042
48,949.16,0.096042
49,950.41,0.094844
50,951.18,0.094118
51,951.18,0.094118
52,948.19,0.096965
53,946.51,0.098565
54,946.51,0.098565
55,946.51,0.098565
59,758.16,0.277943
60,753.41,0.282464
61,753.25,0.282622
62,748.50,0.287147
63,746.78,0.288781
64,731.50,0.303330
65,731.50,0.303330
66,731.50,0.303330
67,731.50,0.303330
68,768.09,0.268483
73,881.63,0.160352
74,885.61,0.156560
75,885.61,0.156560
80,885.61,0.156560
81,885.61,0.156560
82,887.65,0.154621
83,920.46,0.123370
84,921.54,0.122347
85,924.30,0.119710
86,926.81,0.117326
87,944.95,0.100045
88,944.95,0.100045
89,944.95,0.100045
90,944.95,0.100045
97,944.30,0.100666
98,944.30,0.100666
99,944.30,0.100666
103,551.75,0.474525
104,551.75,0.474525
105,551.75,0.474525
106,551.75,0.474525
107,553.87,0.472504
108,557.69,0.468869
109,559.28,0.467348
110,560.54,0.466149
111,562.01,0.464757
112,563.10,0.463712
113,563.88,0.462973
114,565.38,0.461540
115,566.78,0.460205
116,568.44,0.458629
117,570.27,0.456885
118,571.04,0.456154
119,571.59,0.455630
120,571.61,0.455610
121,571.77,0.455459
122,572.45,0.454806
123,573.11,0.454179
124,573.38,0.453925
125,573.63,0.453682
126,573.79,0.453538
127,573.94,0.453391
128,575.24,0.452154
129,575.24,0.452154
130,575.24,0.452154
131,575.24,0.452154
132,574.93,0.452448
133,574.93,0.452448
134,574.89,0.452482
135,574.83,0.452539
136,574.83,0.452543
137,574.78,0.452590
138,574.61,0.452749
139,574.42,0.452931
140,574.30,0.453045
141,574.16,0.453179
142,573.96,0.453375
143,573.69,0.453625
144,573.34,0.453967
145,573.12,0.454171
146,572.83,0.454451
147,572.51,0.454750
148,572.22,0.455032
149,571.87,0.455362
150,571.46,0.455750
151,570.98,0.456211
152,570.39,0.456771
153,569.70,0.457432
154,568.83,0.458252
155,567.87,0.459174
156,566.92,0.460080
157,565.83,0.461113
158,564.80,0.462098
159,563.32,0.463509
160,561.70,0.465051
161,558.70,0.467908
162,555.46,0.470992
163,551.15,0.475092
164,548.74,0.477388
165,547.70,0.478379
166,546.42,0.479600
167,545.52,0.480454
168,544.65,0.481284
169,543.92,0.481977
170,543.92,0.481977
171,543.92,0.481977
172,543.92,0.481977
202,881.70,0.160286
203,881.70,0.160286
204,881.70,0.160286
205,881.70,0.160286
206,880.75,0.161189
207,879.78,0.162115
208,879.45,0.162432
210,879.27,0.162601
214,879.27,0.162601
227,878.96,0.162892
231,846.54,0.193769
232,876.55,0.165194
236,876.55,0.165194
237,876.14,0.165581
238,856.33,0.184444
239,846.54,0.193769
251,856.33,0.184444
253,876.14,0.165581
254,876.14,0.165581
261,886.56,0.155656
262,886.59,0.155633
263,886.65,0.155572
264,886.84,0.155391
265,886.81,0.155422
266,886.65,0.155572
267,886.65,0.155572
268,886.65,0.155572
269,886.52,0.155699
270,886.21,0.155990
271,886.18,0.156021
272,885.96,0.156226
273,885.88,0.156303
274,885.88,0.156303
275,885.70,0.156471
276,885.27,0.156889
277,884.94,0.157196
278,884.72,0.157406
279,883.82,0.158269
280,883.82,0.158269
281,883.82,0.158269
282,883.82,0.158269
283,883.82,0.158269
284,883.85,0.158235
285,884.00,0.158091
286,884.04,0.158058
287,884.04,0.158058
288,883.85,0.158235
289,883.66,0.158416
290,884.20,0.157906
291,884.20,0.157906
292,884.20,0.157906
293,884.31,0.157803
294,884.88,0.157261
295,885.25,0.156903
296,886.41,0.155803
297,887.01,0.155230
298,887.01,0.155230
299,887.01,0.155230
300,887.01,0.155230
301,887.34,0.154910
302,887.34,0.154910
303,887.34,0.154910
304,887.68,0.154595
305,887.68,0.154595
306,887.68,0.154595
307,887.68,0.154595
308,887.03,0.155209
309,886.18,0.156021
310,886.07,0.156126
311,884.19,0.157915
312,884.13,0.157972
313,884.07,0.158025
314,883.81,0.158276
315,883.31,0.158755
316,883.81,0.158276
317,884.13,0.157972
318,883.30,0.158757
319,882.49,0.159532
320,882.34,0.159673
321,882.34,0.159673
322,884.35,0.157764
323,884.35,0.157764
324,884.79,0.157339
325,885.08,0.157069
326,885.35,0.156807
327,885.37,0.156795
328,885.98,0.156210
329,885.98,0.156210
330,886.77,0.155453
331,886.96,0.155279
332,886.96,0.155279
333,886.96,0.155279
334,887.06,0.155180
335,887.06,0.155180
336,887.06,0.155180
337,886.97,0.155270
338,886.97,0.155270
339,886.97,0.155270
340,886.97,0.155270
341,886.81,0.155417
342,886.79,0.155435
343,886.78,0.155444
344,886.78,0.155446
345,886.78,0.155446
346,886.78,0.155446
347,886.77,0.155453
348,886.78,0.155446
349,886.78,0.155446
350,886.78,0.155446
351,886.93,0.155301
352,886.93,0.155301
353,886.93,0.155301
354,886.93,0.155301
355,886.80,0.155431
356,886.71,0.155518
357,886.69,0.155532
358,886.57,0.155650
361,885.78,0.156400
362,885.61,0.156560
363,883.76,0.158328
364,883.76,0.158328
365,883.76,0.158328
366,883.76,0.158328
367,883.66,0.158418
368,883.66,0.158418
369,883.66,0.158418
370,883.66,0.158418
371,882.55,0.159479
372,882.15,0.159858
373,881.97,0.160024
374,881.92,0.160079
375,881.92,0.160079
376,882.15,0.159858
377,882.55,0.159479
378,883.37,0.158694
379,884.12,0.157980
380,884.12,0.157980
381,884.12,0.157980
382,884.12,0.157980
383,881.74,0.160250
384,880.78,0.161157
385,880.78,0.161157
386,880.78,0.161157
387,880.78,0.161157
388,881.39,0.160579
389,884.89,0.157252
390,884.90,0.157237
391,884.90,0.157237
392,884.90,0.157237
393,884.89,0.157252
394,884.82,0.157312
395,884.75,0.157379
396,884.75,0.157379
397,884.75,0.157379
398,884.82,0.157312
399,885.65,0.156521
400,885.65,0.156521
401,885.65,0.156521
402,885.65,0.156521
403,885.47,0.156692
404,885.28,0.156878
405,885.12,0.157024
406,885.06,0.157090
407,883.62,0.158459
408,883.38,0.158681
409,883.23,0.158830
410,882.79,0.159245
411,881.54,0.160437
412,881.54,0.160437
413,881.54,0.160437
414,881.54,0.160437
415,881.35,0.160615
416,881.65,0.160336
417,881.65,0.160336
418,881.65,0.160336
419,881.57,0.160410
420,881.57,0.160410
421,881.57,0.160410
422,881.69,0.160294
423,987.12,0.059886
424,987.45,0.059569
425,987.45,0.059569
426,987.45,0.059569
427,987.12,0.059886
429,987.12,0.059886
430,987.45,0.059569
431,988.18,0.058876
432,969.26,0.076895
433,970.22,0.075979
434,970.22,0.075979
435,970.22,0.075979
436,969.26,0.076895
437,969.26,0.076895
438,969.18,0.076967
439,967.66,0.078420
440,967.56,0.078511
441,879.51,0.162373
442,879.31,0.162566
443,879.31,0.162566
444,879.31,0.162566
447,879.51,0.162373
448,881.65,0.160333
451,994.69,0.052675
452,994.69,0.052675
453,994.69,0.052675
454,994.69,0.052675
455,994.69,0.052675
456,994.69,0.052675
457,994.69,0.052675
458,989.90,0.057242
459,989.90,0.057242
460,989.90,0.057242
461,970.28,0.075925
462,966.28,0.079737
463,881.30,0.160663
464,881.30,0.160663
465,881.30,0.160663
466,881.30,0.160663
467,881.83,0.160160
468,881.83,0.160160
469,881.83,0.160160
470,881.83,0.160160
471,879.36,0.162515
472,879.36,0.162515
473,879.36,0.162515
474,879.36,0.162515
475,879.68,0.162207
476,879.68,0.162207
477,879.68,0.162207
478,879.68,0.162207
479,878.41,0.163419
480,878.30,0.163524
481,878.16,0.163662
482,877.83,0.163967
483,877.79,0.164008
484,877.78,0.164022
485,877.64,0.164148
486,877.63,0.164164
487,877.63,0.164164
488,877.63,0.164164
489,877.63,0.164164
491,967.31,0.078750
492,967.31,0.078748
499,971.78,0.074493
500,974.36,0.072037
501,974.36,0.072037
502,974.36,0.072037
505,976.22,0.070268
506,976.51,0.069990
507,977.49,0.069057
508,978.94,0.067672
509,980.80,0.065906
510,980.80,0.065906
511,980.80,0.065906
512,980.80,0.065906
513,979.37,0.067266
514,978.55,0.068052
515,978.06,0.068511
518,880.71,0.161228
519,879.01,0.162845
534,878.75,0.163098
535,878.75,0.163098
536,879.01,0.162845
537,879.37,0.162509
540,879.01,0.162845
541,878.75,0.163098
542,879.37,0.162509
543,879.54,0.162341
544,879.68,0.162210
545,976.17,0.070312
546,978.25,0.068336
547,978.25,0.068336
549,978.25,0.068336
550,978.25,0.068336
551,974.51,0.071893
552,974.51,0.071893
553,974.31,0.072085
554,973.99,0.072387
555,974.31,0.072085
556,974.51,0.071893
557,974.51,0.071893
558,974.31,0.072085
559,973.99,0.072387
560,879.52,0.162365
561,879.52,0.162365
562,879.52,0.162365
563,879.52,0.162365
564,979.06,0.067564
565,979.38,0.067253
566,980.74,0.065965
567,981.64,0.065102
568,982.96,0.063850
570,982.96,0.063850
571,982.96,0.063850
572,982.96,0.063850
575,878.20,0.163622
576,878.20,0.163622
577,878.18,0.163638
578,877.59,0.164198
579,878.18,0.163638
583,878.20,0.163622
584,878.23,0.163594
585,881.86,0.160129
586,980.68,0.066020
587,980.68,0.066020
588,980.68,0.066020
589,980.68,0.066020
590,979.77,0.066890
599,881.62,0.160366
615,879.54,0.162339
619,876.09,0.165631
633,876.09,0.165631
634,876.09,0.165631
635,876.09,0.165631
640,877.31,0.164463
641,877.31,0.164463
642,877.31,0.164463
643,877.31,0.164463
649,872.86,0.168701
650,869.03,0.172354
651,865.63,0.175589
653,865.63,0.175589
654,865.80,0.175433
655,865.80,0.175433
656,865.80,0.175433
670,868.38,0.172972
671,868.60,0.172760
672,870.82,0.170645
673,874.23,0.167401
674,876.33,0.165401
675,880.05,0.161859
676,880.05,0.161859
677,880.05,0.161859
678,880.05,0.161859
682,880.02,0.161882
683,879.56,0.162325
684,879.18,0.162688
686,877.63,0.164165
687,877.63,0.164165
688,877.63,0.164165
689,877.49,0.164295
690,877.43,0.164356
691,877.43,0.164356
692,877.43,0.164356
693,877.41,0.164373
694,876.25,0.165480
695,876.25,0.165480
696,876.25,0.165480
697,876.25,0.165480
698,876.45,0.165283
699,876.63,0.165111
700,876.76,0.164995
701,876.85,0.164907
707,876.95,0.164810
708,877.44,0.164344
709,877.57,0.164216
710,878.64,0.163202
711,878.64,0.163202
712,878.64,0.163202
713,878.64,0.163202
714,877.01,0.164756
715,876.62,0.165119
716,876.42,0.165318
750,875.79,0.165917
751,875.79,0.165917
752,875.79,0.165917
759,876.24,0.165483
760,876.24,0.165483
761,876.24,0.165483
762,876.24,0.165483
763,876.77,0.164985
764,877.12,0.164644
765,877.31,0.164464
766,877.62,0.164170
770,877.62,0.164170
771,877.62,0.164170
772,877.62,0.164170
773,877.42,0.164365
776,877.19,0.164585
777,876.17,0.165549
778,875.27,0.166414
780,875.27,0.166414
781,875.27,0.166414
782,875.27,0.166414
783,875.50,0.166187
791,875.50,0.166187
792,875.84,0.165863
793,875.91,0.165804
794,875.91,0.165804
796,876.05,0.165665
