x_pixel,y_pixel,y_normalized
44,962.97,0.082888
83,962.22,0.083602
84,959.44,0.086246
85,956.66,0.088891
86,962.22,0.083602
87,962.22,0.083602
88,962.22,0.083602
89,964.48,0.081448
91,971.37,0.074885
92,971.37,0.074885
93,971.37,0.074885
94,971.37,0.074885
96,534.65,0.490809
97,534.65,0.490809
98,534.06,0.491367
99,533.52,0.491883
100,533.52,0.491883
101,532.53,0.492832
102,526.18,0.498877
103,525.67,0.499364
104,523.82,0.501124
105,520.23,0.504539
106,517.83,0.506833
107,516.25,0.508329
108,515.02,0.509505
109,514.20,0.510290
110,513.39,0.511058
111,512.44,0.511960
112,511.04,0.513297
113,509.63,0.514640
114,508.56,0.515658
115,507.40,0.516764
116,506.74,0.517393
117,506.71,0.517418
118,506.68,0.517452
119,506.02,0.518079
120,505.32,0.518746
121,505.31,0.518754
122,505.04,0.519010
123,504.86,0.519176
124,504.49,0.519535
125,504.06,0.519943
126,503.72,0.520269
127,503.47,0.520505
128,503.31,0.520654
129,503.21,0.520754
130,503.13,0.520829
131,503.00,0.520952
132,502.94,0.521009
133,502.94,0.521009
134,502.82,0.521122
135,501.74,0.522155
136,498.34,0.525389
137,498.32,0.525410
138,498.32,0.525410
139,498.32,0.525410
140,498.32,0.525410
141,504.75,0.519289
142,505.23,0.518826
143,505.74,0.518346
144,506.21,0.517894
145,506.64,0.517484
146,506.64,0.517484
147,506.64,0.517484
148,506.64,0.517484
151,507.39,0.516776
153,507.49,0.516678
154,507.49,0.516678
155,880.47,0.161457
156,881.20,0.160763
157,881.20,0.160763
160,881.20,0.160763
161,880.47,0.161457
163,339.84,0.676340
165,330.68,0.685065
166,325.74,0.689769
167,321.68,0.693638
168,318.54,0.696630
170,304.84,0.709673
171,302.32,0.712075
172,298.64,0.715578
173,294.68,0.719354
176,282.24,0.731197
177,278.17,0.735073
179,278.17,0.735073
180,278.17,0.735073
181,278.17,0.735073
183,870.92,0.170555
184,870.92,0.170555
186,870.92,0.170555
188,870.92,0.170555
190,226.24,0.784535
191,222.10,0.788479
193,212.49,0.797626
194,208.91,0.801039
195,206.21,0.803610
196,203.86,0.805844
198,197.51,0.811892
199,191.31,0.817799
201,186.12,0.822741
206,166.95,0.840997
207,164.22,0.843600
210,153.72,0.853602
211,153.72,0.853602
214,153.72,0.853602
216,153.72,0.853602
218,878.96,0.162896
219,879.09,0.162775
228,879.09,0.162775
229,879.09,0.162775
230,878.96,0.162896
242,834.85,0.204906
243,816.68,0.222206
244,771.00,0.265714
245,761.16,0.275083
246,648.36,0.382516
247,633.90,0.396281
248,614.36,0.414899
249,604.86,0.423940
250,596.00,0.432379
251,581.26,0.446420
252,569.31,0.457799
254,547.30,0.478765
256,547.30,0.478765
258,547.30,0.478765
259,547.30,0.478765
260,977.37,0.069167
261,977.37,0.069167
262,977.37,0.069167
263,977.37,0.069167
267,882.32,0.159700
268,882.32,0.159700
269,882.14,0.159870
270,881.84,0.160149
271,881.84,0.160149
272,880.87,0.161078
273,880.87,0.161078
274,880.87,0.161078
275,880.87,0.161078
279,985.01,0.061899
280,985.46,0.061471
281,985.57,0.061366
282,986.12,0.060837
283,985.57,0.061366
284,985.46,0.061471
286,985.01,0.061899
287,336.57,0.679461
288,329.38,0.686309
289,329.38,0.686309
290,329.38,0.686309
294,325.43,0.690066
298,323.67,0.691744
299,300.65,0.713664
303,300.65,0.713664
304,865.37,0.175834
305,264.13,0.748446
307,260.12,0.752269
308,257.31,0.754947
309,240.65,0.770807
310,237.55,0.773765
312,228.00,0.782853
313,225.73,0.785019
314,221.23,0.789300
315,216.50,0.793805
316,212.34,0.797776
317,212.34,0.797776
319,212.34,0.797776
323,212.34,0.797776
324,976.22,0.070265
326,976.22,0.070265
327,976.69,0.069823
329,977.34,0.069197
330,976.69,0.069823
331,976.35,0.070148
332,976.35,0.070148
333,976.69,0.069823
334,977.34,0.069197
336,979.49,0.067156
337,981.48,0.065262
351,1017.43,0.031021
352,1017.43,0.031021
353,1017.43,0.031021
354,1017.43,0.031021
355,1017.37,0.031072
356,1015.80,0.032567
357,1015.29,0.033061
358,1013.22,0.035033
359,1012.44,0.035771
360,1011.91,0.036274
361,1011.48,0.036686
362,1011.08,0.037067
363,1011.08,0.037067
364,1011.08,0.037067
365,1010.55,0.037569
366,1010.25,0.037855
367,1010.09,0.038011
368,1009.85,0.038240
369,1009.53,0.038548
370,1007.72,0.040268
371,1007.72,0.040268
372,1007.72,0.040268
373,1007.72,0.040268
374,1008.04,0.039960
375,1008.04,0.039960
376,1008.04,0.039960
377,1008.04,0.039960
379,526.82,0.498264
382,503.32,0.520646
383,494.88,0.528688
385,482.33,0.540640
386,475.94,0.546727
388,456.58,0.565163
389,453.72,0.567885
392,435.89,0.584870
393,429.20,0.591236
394,421.16,0.598897
395,416.03,0.603783
396,411.38,0.608214
397,403.45,0.615765
398,399.68,0.619351
401,380.82,0.637315
402,378.23,0.639779
404,366.46,0.650988
405,366.46,0.650988
406,366.46,0.650988
407,366.46,0.650988
414,879.65,0.162239
415,879.69,0.162198
416,879.69,0.162198
417,879.69,0.162198
418,879.69,0.162205
419,879.65,0.162239
420,879.53,0.162357
421,879.42,0.162460
422,283.58,0.729923
426,283.58,0.729923
429,283.58,0.729923
430,267.86,0.744895
431,257.30,0.754956
432,252.41,0.759608
433,241.45,0.770052
434,241.45,0.770052
436,241.45,0.770052
439,241.45,0.770052
442,977.02,0.069502
443,977.06,0.069466
444,977.06,0.069466
445,977.06,0.069466
446,977.02,0.069502
447,976.70,0.069814
448,975.95,0.070525
449,974.99,0.071434
450,974.72,0.071696
451,974.35,0.072048
452,974.05,0.072330
453,973.83,0.072543
454,973.75,0.072618
455,965.68,0.080307
456,965.68,0.080307
457,962.92,0.082934
458,956.47,0.089076
459,956.47,0.089076
460,956.47,0.089076
461,989.73,0.057402
462,989.73,0.057402
463,989.69,0.057440
464,989.69,0.057440
465,989.69,0.057440
466,989.68,0.057449
467,985.30,0.061622
468,983.69,0.063156
469,982.88,0.063920
470,982.56,0.064231
471,982.23,0.064542
472,982.23,0.064542
473,982.18,0.064595
474,982.10,0.064667
475,982.03,0.064730
476,981.82,0.064937
477,981.40,0.065333
478,981.34,0.065387
479,981.13,0.065593
480,980.89,0.065818
481,980.48,0.066206
482,980.39,0.066291
483,980.36,0.066323
484,980.30,0.066382
485,980.28,0.066401
486,980.28,0.066401
487,980.28,0.066401
488,980.21,0.066471
489,980.16,0.066517
490,980.13,0.066543
491,979.91,0.066757
492,979.08,0.067539
493,979.08,0.067539
494,979.08,0.067539
495,979.08,0.067539
496,979.36,0.067273
497,979.36,0.067273
498,979.45,0.067189
499,979.57,0.067077
500,979.63,0.067023
501,979.63,0.067023
502,979.63,0.067023
503,979.57,0.067077
504,979.57,0.067077
505,979.57,0.067077
506,513.63,0.510831
507,504.91,0.519130
508,494.46,0.529087
509,486.16,0.536986
510,479.98,0.542878
511,475.43,0.547209
512,469.84,0.552536
513,458.51,0.563328
514,453.22,0.568357
515,446.87,0.574407
516,438.94,0.581963
517,433.96,0.586705
518,428.02,0.592362
519,420.21,0.599804
520,414.94,0.604819
521,412.87,0.606794
523,401.45,0.617670
524,396.14,0.622722
525,371.35,0.646331
526,365.90,0.651527
528,359.05,0.658045
529,355.32,0.661601
531,355.32,0.661601
532,355.32,0.661601
533,346.25,0.670240
534,340.40,0.675808
535,338.12,0.677981
536,336.05,0.679953
537,336.05,0.679953
538,336.05,0.679953
539,336.05,0.679953
540,972.89,0.073435
541,972.89,0.073435
542,972.89,0.073435
543,972.89,0.073435
544,881.28,0.160684
545,881.04,0.160917
546,880.05,0.161861
550,879.98,0.161925
551,879.52,0.162365
555,251.97,0.760026
556,248.16,0.763653
561,229.74,0.781199
562,227.41,0.783415
563,223.93,0.786731
564,220.10,0.790384
566,211.67,0.798410
567,209.32,0.800647
570,196.22,0.813121
571,191.43,0.817683
572,189.49,0.819533
573,186.56,0.822320
574,186.03,0.822832
575,179.16,0.829368
577,171.72,0.836456
578,170.62,0.837508
579,167.52,0.840458
580,165.70,0.842186
581,165.70,0.842186
582,165.70,0.842186
583,165.70,0.842186
584,401.49,0.617627
585,407.09,0.612297
587,920.55,0.123283
588,922.10,0.121806
589,923.84,0.120152
590,926.10,0.117996
591,927.49,0.116677
592,928.45,0.115757
593,973.81,0.072562
594,973.89,0.072489
595,973.89,0.072489
596,973.89,0.072489
597,973.81,0.072562
598,973.54,0.072819
599,973.42,0.072929
600,973.30,0.073045
601,973.30,0.073048
602,969.72,0.076454
603,969.72,0.076454
604,969.72,0.076454
605,969.72,0.076454
606,970.43,0.075783
607,971.01,0.075226
608,972.72,0.073601
609,972.84,0.073490
610,972.84,0.073490
611,972.84,0.073490
612,971.01,0.075226
613,967.52,0.078557
614,966.92,0.079127
615,966.62,0.079409
616,965.43,0.080543
617,965.43,0.080543
618,965.18,0.080783
619,965.18,0.080783
620,965.18,0.080783
621,965.18,0.080783
622,967.37,0.078691
623,969.15,0.077001
624,969.15,0.077001
625,969.15,0.077001
626,969.15,0.077001
627,969.07,0.077074
628,968.99,0.077154
629,968.99,0.077154
630,968.99,0.077154
631,968.99,0.077154
632,968.99,0.077154
633,968.99,0.077154
634,968.99,0.077154
635,968.88,0.077254
636,968.58,0.077546
637,968.46,0.077661
638,968.46,0.077661
639,968.46,0.077661
640,968.46,0.077661
641,972.68,0.073640
642,973.08,0.073254
643,973.08,0.073254
644,973.08,0.073254
645,973.08,0.073254
646,972.51,0.073801
647,971.26,0.074992
648,969.56,0.076611
649,967.88,0.078209
650,967.39,0.078680
651,967.39,0.078680
652,967.39,0.078680
653,967.39,0.078680
654,967.76,0.078325
655,969.64,0.076535
656,971.10,0.075141
657,972.12,0.074176
658,972.60,0.073712
659,973.93,0.072445
660,973.93,0.072445
661,973.93,0.072445
662,973.93,0.072445
663,326.91,0.688658
664,322.92,0.692457
665,319.60,0.695618
666,314.97,0.700027
667,314.97,0.700027
668,314.97,0.700027
669,309.98,0.704782
670,304.64,0.709866
671,299.55,0.714713
672,299.55,0.714713
673,292.26,0.721653
674,289.00,0.724764
675,288.68,0.725066
676,288.48,0.725256
677,269.21,0.743608
678,269.21,0.743608
679,269.21,0.743608
680,269.21,0.743608
681,306.76,0.707846
682,306.76,0.707846
686,306.76,0.707846
687,306.76,0.707846
688,225.55,0.785194
689,221.68,0.788872
690,218.28,0.792116
691,218.28,0.792116
692,218.28,0.792116
693,189.27,0.819740
695,187.69,0.821243
696,187.69,0.821243
697,187.69,0.821243
698,187.69,0.821243
699,173.39,0.834867
700,169.90,0.838186
701,138.30,0.868289
702,138.30,0.868289
703,159.41,0.848179
704,159.41,0.848179
705,159.41,0.848179
706,160.23,0.847399
707,160.23,0.847399
708,160.23,0.847399
709,160.23,0.847399
710,147.79,0.859247
711,146.87,0.860120
712,146.43,0.860547
713,143.71,0.863130
714,137.66,0.868891
715,137.66,0.868891
716,137.66,0.868891
717,137.66,0.868891
725,910.88,0.132492
726,910.88,0.132492
728,910.88,0.132492
729,910.88,0.132492
730,910.82,0.132556
731,910.49,0.132869
732,910.45,0.132901
733,910.45,0.132908
734,909.81,0.133515
735,909.18,0.134110
736,908.85,0.134430
737,908.80,0.134479
738,907.08,0.136113
740,834.10,0.205622
741,805.34,0.233009
742,781.95,0.255283
743,774.04,0.262820
744,648.89,0.382011
745,633.26,0.396893
746,617.21,0.412181
747,617.21,0.412181
748,617.21,0.412181
749,617.21,0.412181
751,606.45,0.422431
752,597.17,0.431269
753,842.98,0.197160
754,844.11,0.196081
755,844.11,0.196081
756,844.11,0.196081
757,842.98,0.197160
758,842.98,0.197160
759,842.98,0.197160
760,481.84,0.541106
761,473.94,0.548626
762,470.03,0.552351
763,462.54,0.559487
765,448.83,0.572539
766,439.78,0.581158
767,439.78,0.581158
770,439.78,0.581158
771,439.78,0.581158
772,975.96,0.070514
773,976.09,0.070393
774,976.09,0.070393
775,976.09,0.070393
776,976.09,0.070393
779,368.81,0.648750
780,363.23,0.654066
781,358.14,0.658911
782,353.51,0.663327
783,346.83,0.669681
784,340.83,0.675397
785,338.40,0.677719
786,336.12,0.679883
788,324.71,0.690754
789,321.34,0.693966
790,316.41,0.698655
791,310.77,0.704024
792,310.77,0.704024
794,310.77,0.704024
795,310.77,0.704024
796,969.34,0.076823
797,969.78,0.076398
798,969.78,0.076398
799,969.78,0.076398
800,969.78,0.076398
801,267.36,0.745367
804,258.38,0.753925
806,258.38,0.753925
807,258.38,0.753925
808,247.34,0.764435
810,245.46,0.766228
811,240.95,0.770526
812,225.58,0.785163
813,222.98,0.787635
814,217.25,0.793096
815,213.68,0.796499
816,211.26,0.798803
817,207.82,0.802077
818,207.82,0.802077
819,207.82,0.802077
820,204.41,0.805325
821,201.18,0.808402
822,196.89,0.812489
823,185.87,0.822979
824,182.30,0.826380
825,179.41,0.829134
826,177.10,0.831335
827,172.05,0.836142
828,169.45,0.838618
829,167.33,0.840639
835,146.43,0.860547
836,142.74,0.864060
837,140.47,0.866220
838,137.08,0.869444
839,134.69,0.871723
840,131.12,0.875123
841,131.12,0.875123
842,131.12,0.875123
843,131.12,0.875123
844,974.85,0.071576
845,976.19,0.070299
857,976.19,0.070299
861,976.19,0.070299
862,974.85,0.071576
866,852.82,0.187789
867,814.24,0.224535
868,793.52,0.244268
872,605.03,0.423782
873,593.30,0.434949
874,577.97,0.449551
875,566.87,0.460121
876,557.99,0.468582
877,549.64,0.476530
878,536.61,0.488943
879,526.83,0.498256
880,520.00,0.504758
883,520.00,0.504758
884,520.00,0.504758
885,520.00,0.504758
886,883.70,0.158382
887,884.74,0.157390
888,884.91,0.157228
889,885.00,0.157141
890,885.23,0.156924
891,885.25,0.156907
892,885.25,0.156907
893,885.19,0.156962
894,885.19,0.156962
895,885.19,0.156962
896,885.19,0.156962
897,884.62,0.157504
898,884.33,0.157784
899,884.05,0.158048
900,884.02,0.158080
901,883.93,0.158165
902,883.74,0.158339
903,883.43,0.158638
904,882.94,0.159107
910,335.36,0.680605
911,331.90,0.683902
912,325.75,0.689758
919,295.48,0.718594
920,291.46,0.722420
921,286.73,0.726921
922,283.74,0.729772
923,279.97,0.733358
925,279.97,0.733358
926,279.97,0.733358
927,279.97,0.733358
930,268.73,0.744065
931,265.08,0.747543
932,506.64,0.517489
937,517.51,0.507133
