x_pixel,y_pixel,y_normalized
14,769.74,0.266918
15,903.98,0.139064
23,903.72,0.139317
24,903.98,0.139064
25,907.65,0.135567
26,944.63,0.100356
27,944.63,0.100356
28,944.63,0.100356
29,944.78,0.100209
30,944.78,0.100209
31,944.78,0.100209
32,944.98,0.100023
34,945.00,0.100000
35,944.98,0.100023
36,838.33,0.201593
37,838.27,0.201644
38,763.58,0.272779
39,763.58,0.272779
40,763.58,0.272779
41,763.58,0.272779
43,909.58,0.133735
44,910.08,0.133256
45,910.57,0.132787
46,910.57,0.132787
47,910.57,0.132787
48,910.57,0.132787
51,770.19,0.266488
52,767.79,0.268774
54,766.21,0.270280
55,763.34,0.273006
56,760.98,0.275255
57,754.37,0.281555
58,748.41,0.287232
59,748.41,0.287232
60,748.41,0.287232
61,748.41,0.287232
62,875.84,0.165867
63,876.44,0.165295
64,876.51,0.165226
65,876.52,0.165222
66,877.77,0.164025
67,879.75,0.162145
68,880.16,0.161753
69,880.41,0.161514
70,880.41,0.161514
71,880.41,0.161514
72,880.41,0.161514
73,879.30,0.162571
74,878.53,0.163303
75,870.19,0.171250
76,868.66,0.172704
77,868.66,0.172704
78,868.66,0.172704
79,868.66,0.172704
80,869.72,0.171691
81,872.21,0.169322
82,872.41,0.169131
83,872.41,0.169131
84,872.41,0.169131
85,872.41,0.169131
86,872.27,0.169262
87,872.27,0.169262
88,872.27,0.169262
89,871.62,0.169885
90,871.21,0.170280
91,871.21,0.170280
92,537.10,0.488478
93,537.03,0.488540
94,536.65,0.488908
95,535.54,0.489964
96,535.54,0.489964
97,533.85,0.491570
98,533.75,0.491665
99,524.65,0.500338
100,524.60,0.500378
101,524.02,0.500930
102,523.02,0.501881
103,522.87,0.502032
104,521.20,0.503619
105,519.25,0.505477
106,515.82,0.508740
107,514.99,0.509533
108,513.50,0.510953
109,511.83,0.512546
110,510.46,0.513848
111,509.38,0.514875
112,508.08,0.516117
113,507.26,0.516891
114,507.12,0.517031
115,507.03,0.517110
116,506.59,0.517536
117,506.19,0.517910
118,506.05,0.518052
119,505.99,0.518104
120,505.83,0.518257
121,505.02,0.519024
122,504.37,0.519645
123,503.99,0.520014
124,503.68,0.520307
125,503.39,0.520578
126,503.25,0.520715
127,503.25,0.520715
128,503.25,0.520715
129,503.25,0.520715
130,876.17,0.165550
131,876.26,0.165463
132,876.54,0.165199
133,876.54,0.165199
134,876.54,0.165199
135,876.54,0.165199
136,876.46,0.165276
137,876.46,0.165277
138,876.45,0.165284
139,876.45,0.165284
140,876.40,0.165330
141,876.40,0.165330
142,876.40,0.165330
143,876.38,0.165348
144,876.38,0.165349
145,876.36,0.165372
146,876.32,0.165414
147,876.10,0.165623
148,876.10,0.165623
149,876.10,0.165623
150,875.96,0.165751
151,875.92,0.165786
152,875.87,0.165835
153,875.59,0.166101
154,875.38,0.166305
155,875.38,0.166305
156,875.38,0.166305
157,875.38,0.166305
158,875.46,0.166224
159,875.75,0.165953
160,875.78,0.165926
161,875.78,0.165926
162,875.78,0.165926
163,875.75,0.165953
164,875.49,0.166198
165,875.05,0.166617
166,875.05,0.166617
167,875.05,0.166617
168,875.05,0.166617
169,875.08,0.166595
170,875.19,0.166483
171,875.22,0.166459
172,875.24,0.166439
173,875.29,0.166391
174,875.72,0.165984
175,875.74,0.165959
176,875.74,0.165959
177,875.74,0.165959
178,875.74,0.165959
179,875.49,0.166196
180,875.49,0.166196
181,875.49,0.166196
182,875.03,0.166636
183,875.03,0.166636
184,875.42,0.166265
185,875.42,0.166265
186,875.42,0.166265
187,875.42,0.166265
188,875.42,0.166265
189,875.43,0.166259
190,875.43,0.166259
191,875.35,0.166331
192,875.35,0.166331
193,875.27,0.166405
194,874.90,0.166766
195,874.89,0.166774
196,874.82,0.166837
197,874.70,0.166950
198,874.70,0.166950
199,874.70,0.166950
200,874.70,0.166950
201,874.77,0.166882
202,874.98,0.166687
203,875.04,0.166628
204,875.33,0.166353
205,875.59,0.166109
206,875.80,0.165902
207,876.07,0.165649
208,876.07,0.165649
209,876.07,0.165649
210,876.07,0.165649
211,876.07,0.165650
212,875.84,0.165869
213,875.53,0.166166
214,875.53,0.166166
215,875.53,0.166166
216,875.53,0.166166
217,875.61,0.166085
218,875.85,0.165853
219,875.86,0.165844
220,875.92,0.165790
221,876.14,0.165581
222,876.14,0.165581
223,875.86,0.165844
224,875.85,0.165853
225,875.73,0.165976
226,875.44,0.166247
227,875.44,0.166247
228,875.41,0.166280
229,875.33,0.166353
230,875.33,0.166353
231,875.33,0.166353
232,875.41,0.166280
233,875.22,0.166458
234,875.14,0.166536
235,875.10,0.166575
236,874.94,0.166721
237,874.71,0.166943
238,874.04,0.167583
239,873.67,0.167934
240,873.42,0.168172
243,873.42,0.168172
244,873.42,0.168172
245,873.67,0.167934
246,874.10,0.167522
247,874.19,0.167435
248,874.68,0.166975
249,874.68,0.166975
250,874.68,0.166975
251,874.94,0.166720
252,875.15,0.166522
253,875.23,0.166448
254,875.65,0.166050
255,875.65,0.166050
256,875.65,0.166050
257,875.65,0.166050
258,875.43,0.166255
260,874.20,0.167431
261,873.52,0.168080
262,873.46,0.168136
263,873.40,0.168192
264,873.21,0.168370
265,873.21,0.168370
266,873.30,0.168284
267,873.30,0.168284
268,873.04,0.168535
269,873.14,0.168438
270,873.14,0.168438
271,873.14,0.168438
272,873.08,0.168491
273,873.04,0.168535
274,872.55,0.169003
275,872.45,0.169095
276,872.45,0.169095
277,872.45,0.169095
278,872.45,0.169095
279,872.76,0.168800
280,872.79,0.168772
281,872.79,0.168772
282,872.79,0.168772
283,872.89,0.168674
284,872.89,0.168674
285,872.79,0.168772
286,872.68,0.168874
287,872.61,0.168945
288,324.97,0.690507
289,321.08,0.694205
290,321.08,0.694205
291,321.08,0.694205
292,321.08,0.694205
293,860.89,0.180101
294,861.40,0.179622
297,873.06,0.168512
298,873.27,0.168319
299,873.32,0.168265
309,874.97,0.166699
310,874.97,0.166699
311,874.97,0.166698
312,875.04,0.166626
313,875.04,0.166626
314,875.01,0.166657
315,875.01,0.166657
316,875.02,0.166651
317,875.04,0.166626
318,875.32,0.166359
319,875.02,0.166651
321,875.01,0.166657
322,874.13,0.167493
323,805.07,0.233269
325,805.07,0.233269
326,805.07,0.233269
327,805.07,0.233269
329,976.98,0.069539
330,976.98,0.069539
331,976.98,0.069539
332,976.98,0.069539
339,842.22,0.197887
340,842.06,0.198035
342,841.66,0.198420
343,841.66,0.198420
344,842.06,0.198035
345,842.22,0.197887
346,842.76,0.197369
348,863.54,0.177583
349,871.94,0.169577
350,873.12,0.168454
351,873.12,0.168454
352,873.12,0.168454
353,873.21,0.168376
354,873.12,0.168454
355,873.07,0.168503
356,873.04,0.168534
357,873.04,0.168534
358,873.07,0.168503
359,873.07,0.168503
360,872.87,0.168697
361,872.82,0.168742
366,872.87,0.168697
367,873.31,0.168280
368,873.31,0.168280
369,873.31,0.168280
370,876.62,0.165127
371,877.10,0.164666
372,877.19,0.164578
373,877.54,0.164249
374,877.32,0.164459
375,877.32,0.164459
376,877.32,0.164459
377,877.32,0.164459
378,877.32,0.164459
379,877.32,0.164459
380,877.32,0.164459
381,877.35,0.164427
384,877.54,0.164244
385,877.77,0.164030
386,877.77,0.164030
387,877.77,0.164030
388,877.77,0.164030
395,875.99,0.165727
396,875.02,0.166643
399,874.78,0.166873
400,874.57,0.167075
404,873.91,0.167708
405,873.42,0.168167
406,873.42,0.168167
407,873.42,0.168167
408,872.83,0.168731
409,872.83,0.168731
410,872.83,0.168731
411,872.83,0.168731
412,978.46,0.068132
413,978.46,0.068132
414,978.46,0.068132
415,978.46,0.068132
416,975.86,0.070613
417,972.56,0.073754
418,962.29,0.083532
419,957.01,0.088566
420,952.58,0.092781
421,951.23,0.094068
428,863.02,0.178077
