x_pixel,y_pixel,y_normalized
55,969.33,0.076826
56,977.67,0.068884
98,967.22,0.078835
99,956.77,0.088786
100,956.77,0.088786
128,506.70,0.517432
129,506.59,0.517537
130,506.32,0.517793
131,505.97,0.518121
132,505.69,0.518393
133,505.49,0.518578
134,505.20,0.518853
135,505.18,0.518880
136,505.12,0.518934
137,504.52,0.519501
138,504.19,0.519818
139,503.91,0.520085
140,503.90,0.520096
141,503.90,0.520096
142,503.90,0.520096
143,503.90,0.520096
144,504.78,0.519259
145,505.43,0.518638
146,505.86,0.518232
147,506.24,0.517866
148,506.61,0.517514
149,506.98,0.517157
150,507.20,0.516953
151,507.68,0.516498
152,508.18,0.516015
153,508.54,0.515674
154,509.06,0.515182
155,509.54,0.514720
156,510.15,0.514145
157,510.94,0.513386
158,511.63,0.512732
159,512.57,0.511838
160,513.84,0.510624
161,515.61,0.508946
162,518.29,0.506389
163,522.00,0.502854
164,524.78,0.500214
165,527.23,0.497881
166,528.84,0.496343
167,530.32,0.494929
168,530.80,0.494478
169,534.24,0.491197
170,536.02,0.489508
171,536.72,0.488834
172,536.75,0.488807
173,536.92,0.488644
174,537.26,0.488328
192,874.40,0.167238
204,874.56,0.167088
214,874.56,0.167088
274,874.56,0.167088
275,874.50,0.167142
276,874.50,0.167142
277,874.40,0.167238
278,874.41,0.167233
279,874.41,0.167233
280,874.41,0.167233
281,874.49,0.167150
282,874.58,0.167065
283,874.58,0.167065
284,874.58,0.167065
285,874.58,0.167065
286,874.58,0.167065
287,874.45,0.167194
288,874.25,0.167381
289,874.25,0.167381
290,874.25,0.167381
291,874.25,0.167381
292,875.10,0.166575
293,875.10,0.166575
294,875.10,0.166575
295,875.10,0.166575
296,874.87,0.166794
297,874.87,0.166794
298,874.87,0.166794
299,874.87,0.166794
300,875.05,0.166619
301,875.29,0.166388
302,875.35,0.166335
303,875.57,0.166128
304,875.35,0.166335
305,875.30,0.166379
306,875.30,0.166379
307,875.35,0.166335
308,875.68,0.166014
309,875.59,0.166107
310,875.30,0.166379
311,875.27,0.166414
312,875.27,0.166414
313,875.27,0.166414
314,874.27,0.167358
315,874.22,0.167412
316,874.22,0.167412
317,874.22,0.167412
318,874.22,0.167412
319,874.22,0.167412
320,874.27,0.167358
321,875.25,0.166426
322,875.25,0.166426
323,875.25,0.166426
324,875.25,0.166426
325,875.58,0.166112
326,875.90,0.165805
327,875.90,0.165805
328,875.90,0.165805
329,875.97,0.165738
330,875.97,0.165738
331,875.97,0.165738
332,875.97,0.165738
333,875.97,0.165738
334,875.97,0.165738
335,876.01,0.165704
336,876.12,0.165602
337,876.12,0.165602
338,876.12,0.165602
339,876.01,0.165704
340,876.13,0.165591
341,876.13,0.165591
342,876.13,0.165591
343,876.12,0.165599
344,876.08,0.165634
345,876.08,0.165634
346,876.08,0.165634
347,876.01,0.165709
348,876.00,0.165717
349,875.99,0.165728
350,875.94,0.165767
351,875.90,0.165814
352,875.89,0.165819
353,875.85,0.165854
354,875.85,0.165854
355,875.84,0.165870
356,875.81,0.165892
357,875.81,0.165899
358,875.81,0.165892
359,875.85,0.165854
360,875.90,0.165811
361,875.73,0.165968
362,875.73,0.165968
363,875.77,0.165931
364,875.90,0.165808
365,875.90,0.165805
366,875.90,0.165805
367,875.77,0.165931
368,875.77,0.165931
369,875.77,0.165931
370,875.68,0.166019
371,875.68,0.166019
372,875.68,0.166019
373,875.68,0.166019
374,875.73,0.165972
375,876.24,0.165485
376,876.28,0.165444
377,876.36,0.165369
378,876.36,0.165369
379,876.36,0.165369
380,876.36,0.165369
381,876.17,0.165550
382,876.15,0.165569
383,876.08,0.165642
384,876.04,0.165672
385,875.42,0.166265
386,875.42,0.166265
387,875.42,0.166265
388,875.42,0.166265
393,875.74,0.165960
394,875.76,0.165945
400,875.78,0.165922
401,875.79,0.165918
402,875.79,0.165914
403,875.82,0.165886
404,875.82,0.165886
405,875.79,0.165914
406,875.82,0.165886
407,875.84,0.165870
408,875.88,0.165832
409,875.94,0.165773
410,876.19,0.165533
411,876.25,0.165472
412,876.32,0.165413
413,876.34,0.165387
414,876.39,0.165345
415,876.55,0.165195
416,876.61,0.165138
417,876.72,0.165030
418,876.79,0.164966
419,876.79,0.164966
420,876.79,0.164966
421,876.79,0.164966
422,876.77,0.164983
423,875.76,0.165942
424,875.66,0.166042
425,875.66,0.166042
426,875.66,0.166042
427,875.76,0.165942
428,876.05,0.165662
429,876.08,0.165635
432,876.36,0.165374
433,876.36,0.165374
434,876.36,0.165374
435,876.19,0.165532
439,876.19,0.165532
440,876.14,0.165583
441,876.05,0.165671
442,875.99,0.165726
443,875.65,0.166044
444,875.52,0.166170
445,875.44,0.166250
446,875.25,0.166426
447,875.25,0.166426
448,874.98,0.166688
449,874.98,0.166688
450,875.01,0.166653
453,875.05,0.166621
458,875.25,0.166426
459,875.91,0.165800
472,875.79,0.165914
473,875.79,0.165914
496,876.03,0.165688
497,876.05,0.165666
498,876.05,0.165666
502,876.05,0.165666
503,876.23,0.165494
504,876.31,0.165417
505,876.31,0.165417
506,876.35,0.165378
507,876.37,0.165359
508,876.37,0.165359
509,876.35,0.165378
510,876.35,0.165378
511,876.15,0.165572
512,876.09,0.165627
513,876.05,0.165666
514,876.05,0.165666
539,875.78,0.165928
540,875.78,0.165928
541,875.78,0.165928
542,874.62,0.167024
543,874.62,0.167024
544,874.62,0.167024
549,874.62,0.167024
550,875.36,0.166321
551,875.74,0.165966
557,875.74,0.165966
558,875.74,0.165966
559,875.74,0.165966
607,875.45,0.166240
608,875.43,0.166254
609,875.43,0.166254
610,875.43,0.166254
627,875.43,0.166254
628,875.77,0.165932
629,875.85,0.165856
636,875.85,0.165856
637,875.85,0.165856
638,875.85,0.165856
644,875.68,0.166019
645,875.68,0.166019
647,875.66,0.166042
648,873.81,0.167800
649,875.66,0.166042
651,875.68,0.166019
652,875.66,0.166042
654,875.20,0.166478
655,870.47,0.170980
656,873.64,0.167958
657,873.64,0.167958
658,873.49,0.168101
665,873.37,0.168223
666,868.57,0.172787
667,871.56,0.169943
673,873.37,0.168223
674,873.37,0.168223
675,873.49,0.168101
676,874.22,0.167406
677,874.64,0.167006
682,874.95,0.166713
683,874.95,0.166713
684,874.86,0.166805
685,874.86,0.166805
689,874.95,0.166713
690,875.17,0.166502
691,875.38,0.166310
692,875.53,0.166166
693,875.53,0.166166
694,875.53,0.166166
695,875.53,0.166166
696,875.28,0.166397
697,875.28,0.166397
716,875.28,0.166397
717,875.28,0.166397
728,875.96,0.165753
729,875.99,0.165728
735,876.76,0.164988
736,876.76,0.164988
737,876.76,0.164988
738,876.76,0.164988
775,874.43,0.167208
776,873.78,0.167826
777,873.68,0.167925
781,873.68,0.167925
782,873.78,0.167826
783,874.15,0.167471
788,874.15,0.167471
789,874.26,0.167373
790,874.77,0.166884
791,875.22,0.166456
792,875.22,0.166456
793,875.22,0.166456
794,875.22,0.166456
795,874.71,0.166943
797,873.08,0.168496
798,873.08,0.168496
799,873.08,0.168496
800,873.08,0.168496
801,873.57,0.168025
814,874.53,0.167114
815,874.64,0.167008
816,874.64,0.167006
817,874.90,0.166761
818,875.03,0.166634
819,875.03,0.166634
820,875.03,0.166634
821,875.03,0.166634
822,875.03,0.166638
823,875.03,0.166638
824,875.03,0.166638
825,875.03,0.166638
826,875.15,0.166520
827,875.44,0.166244
828,875.81,0.165897
829,875.81,0.165897
830,875.81,0.165897
831,875.81,0.165897
832,875.57,0.166124
833,875.15,0.166526
834,875.15,0.166526
835,875.15,0.166526
836,875.15,0.166526
