x_pixel,y_pixel,y_normalized
56,929.98,0.114305
57,894.94,0.147673
58,722.51,0.311895
77,550.08,0.476117
78,537.14,0.488434
79,537.05,0.488528
86,537.05,0.488528
87,537.05,0.488528
88,537.14,0.488434
89,537.88,0.487731
90,537.88,0.487731
91,537.88,0.487731
92,537.88,0.487731
93,536.21,0.489326
94,534.52,0.490937
95,533.43,0.491974
96,531.62,0.493698
97,530.89,0.494386
98,529.95,0.495282
99,528.80,0.496379
100,527.98,0.497159
101,526.73,0.498353
102,524.78,0.500210
103,523.17,0.501739
104,521.63,0.503206
105,519.92,0.504838
106,516.90,0.507712
107,513.25,0.511187
108,512.93,0.511498
109,512.61,0.511800
110,511.99,0.512389
111,511.99,0.512389
112,511.99,0.512389
113,511.43,0.512927
114,510.74,0.513580
115,510.74,0.513580
116,510.74,0.513580
117,510.74,0.513580
118,570.73,0.456450
119,571.73,0.455492
120,571.91,0.455325
121,572.14,0.455107
122,572.20,0.455044
123,572.23,0.455017
124,572.23,0.455017
125,572.23,0.455017
126,572.23,0.455017
128,572.23,0.455017
132,572.23,0.455017
133,572.23,0.455017
134,571.97,0.455265
156,417.23,0.602642
157,415.11,0.604655
159,402.07,0.617073
160,402.07,0.617073
163,402.07,0.617073
168,402.07,0.617073
170,879.78,0.162110
171,880.00,0.161905
172,880.48,0.161444
173,888.63,0.153684
174,888.63,0.153684
175,888.63,0.153684
176,888.63,0.153684
177,882.87,0.159171
178,882.62,0.159407
179,882.40,0.159621
180,882.36,0.159654
181,881.85,0.160143
183,881.54,0.160434
184,881.44,0.160534
185,881.05,0.160907
186,880.74,0.161203
187,880.67,0.161265
188,880.56,0.161370
189,880.37,0.161557
190,880.36,0.161566
191,880.13,0.161778
192,880.13,0.161778
193,880.13,0.161778
194,880.13,0.161778
195,879.90,0.162003
196,879.90,0.162003
197,879.90,0.162003
258,880.53,0.161398
259,880.53,0.161398
260,881.49,0.160488
282,867.56,0.173750
306,867.56,0.173750
307,867.56,0.173750
327,624.57,0.405169
330,593.51,0.434755
331,514.07,0.510413
392,504.78,0.519254
394,504.78,0.519254
402,504.78,0.519254
403,504.78,0.519254
418,413.30,0.606380
419,407.52,0.611888
420,402.34,0.616819
421,398.33,0.620639
422,398.33,0.620639
424,398.33,0.620639
425,398.33,0.620639
439,900.71,0.142181
440,902.92,0.140079
441,902.97,0.140027
442,903.25,0.139758
443,906.84,0.136341
444,909.27,0.134030
445,909.27,0.134030
446,909.27,0.134030
447,909.27,0.134030
448,908.80,0.134480
449,907.85,0.135383
450,900.34,0.142537
451,900.34,0.142537
452,900.34,0.142537
453,900.34,0.142537
454,902.94,0.140060
455,905.77,0.137362
456,911.96,0.131464
457,915.08,0.128494
458,915.08,0.128494
459,917.05,0.126624
460,919.19,0.124578
461,921.77,0.122122
462,924.39,0.119631
463,924.85,0.119190
464,925.24,0.118821
475,925.24,0.118821
476,925.24,0.118821
477,925.24,0.118821
491,922.62,0.121319
492,922.59,0.121341
493,918.44,0.125300
494,915.22,0.128361
495,913.97,0.129549
496,910.49,0.132864
497,910.09,0.133243
498,909.86,0.133462
499,909.86,0.133462
500,909.28,0.134022
501,908.71,0.134563
502,908.52,0.134743
503,908.52,0.134743
504,908.52,0.134743
505,908.52,0.134743
506,914.74,0.128822
507,914.74,0.128822
508,914.74,0.128822
509,914.74,0.128822
510,914.74,0.128822
511,914.74,0.128822
512,914.74,0.128822
522,928.38,0.115828
523,928.38,0.115828
524,928.38,0.115828
525,928.38,0.115828
526,928.15,0.116050
527,928.12,0.116073
528,928.09,0.116107
529,928.05,0.116146
530,927.93,0.116257
531,927.73,0.116452
543,907.15,0.136047
544,907.15,0.136047
545,907.15,0.136047
546,907.15,0.136047
547,909.99,0.133344
548,915.60,0.127997
549,915.60,0.127997
550,915.60,0.127997
551,915.60,0.127997
567,910.48,0.132876
568,910.48,0.132876
569,910.48,0.132876
570,910.48,0.132876
571,911.53,0.131876
572,912.76,0.130706
573,912.76,0.130706
574,913.01,0.130468
575,914.21,0.129328
576,914.21,0.129328
577,914.21,0.129328
578,915.14,0.128441
579,915.42,0.128175
580,915.43,0.128159
581,916.01,0.127611
582,918.62,0.125126
583,920.05,0.123758
584,921.01,0.122843
585,921.01,0.122843
586,921.01,0.122843
590,921.01,0.122843
591,917.79,0.125913
592,916.57,0.127079
593,916.28,0.127354
594,916.28,0.127354
595,916.28,0.127354
596,916.57,0.127079
597,917.01,0.126659
598,917.82,0.125887
599,918.17,0.125550
600,918.87,0.124890
601,918.87,0.124890
602,918.87,0.124890
603,918.87,0.124890
604,918.39,0.125340
605,915.45,0.128145
606,915.45,0.128145
607,915.45,0.128145
608,916.91,0.126757
609,916.91,0.126757
610,918.44,0.125298
611,918.44,0.125298
612,918.44,0.125298
613,920.37,0.123461
623,920.41,0.123423
624,920.41,0.123423
625,921.01,0.122850
626,928.27,0.115931
627,932.26,0.112132
628,932.26,0.112132
629,932.26,0.112132
630,932.26,0.112132
646,882.50,0.159529
647,881.17,0.160792
651,701.49,0.331913
652,689.61,0.343227
655,689.61,0.343227
656,689.61,0.343227
657,689.61,0.343227
658,692.20,0.340761
659,865.90,0.175331
660,865.90,0.175331
675,865.90,0.175331
676,865.90,0.175331
780,865.65,0.175573
781,865.65,0.175573
782,865.65,0.175573
783,865.65,0.175573
784,869.11,0.172276
915,869.40,0.171999
916,871.77,0.169748
1046,872.19,0.169339
1243,875.20,0.166478
1249,877.34,0.164441
1310,877.34,0.164441
1316,877.34,0.164441
1334,875.20,0.166478
1346,874.70,0.166953
1347,874.64,0.167011
1348,874.63,0.167016
1349,874.52,0.167122
1350,874.17,0.167454
1351,874.09,0.167532
1352,873.89,0.167724
1353,873.74,0.167866
1354,873.48,0.168111
1355,873.16,0.168419
1356,872.92,0.168651
1359,872.33,0.169208
1360,872.19,0.169344
1361,872.06,0.169469
1362,871.90,0.169615
1363,871.56,0.169943
1365,871.26,0.170229
1366,870.98,0.170493
1367,870.74,0.170724
1368,870.55,0.170907
1369,870.18,0.171259
1370,869.75,0.171669
1375,869.21,0.172180
1376,869.14,0.172246
1377,869.10,0.172282
1378,868.81,0.172562
1379,868.50,0.172853
1381,868.50,0.172858
1382,868.31,0.173043
1383,868.12,0.173221
1384,867.84,0.173483
1385,867.57,0.173743
1386,867.40,0.173903
1390,866.71,0.174563
1391,866.59,0.174674
1392,866.24,0.175009
1393,865.99,0.175243
1394,865.85,0.175381
1395,865.73,0.175493
1396,865.58,0.175634
1397,865.21,0.175992
1408,862.44,0.178627
1409,861.22,0.179792
1412,859.00,0.181900
1413,858.23,0.182637
1414,857.93,0.182920
1415,857.70,0.183139
1416,856.86,0.183943
1417,856.19,0.184577
1418,856.07,0.184695
1419,856.07,0.184695
1420,855.69,0.185061
1421,855.67,0.185072
1422,855.24,0.185486
1425,854.39,0.186297
1426,853.64,0.187008
1428,852.78,0.187832
1429,852.64,0.187961
1430,851.37,0.189176
1431,850.68,0.189825
1432,850.41,0.190081
