x_pixel,y_pixel,y_normalized
41,958.53,0.087114
42,958.28,0.087354
51,949.89,0.095347
54,941.49,0.103340
55,935.43,0.109119
59,935.43,0.109119
67,935.43,0.109119
68,941.49,0.103340
74,960.57,0.085176
75,992.25,0.055004
89,992.25,0.055004
90,992.25,0.055004
91,960.57,0.085176
95,845.38,0.194873
96,837.17,0.202700
98,539.98,0.485736
99,539.79,0.485910
100,538.47,0.487174
101,538.47,0.487174
102,539.79,0.485910
103,539.98,0.485736
104,538.47,0.487174
105,538.47,0.487174
106,544.39,0.481535
107,547.93,0.478159
108,553.23,0.473111
109,560.77,0.465932
110,562.55,0.464239
111,565.12,0.461790
112,566.34,0.460631
113,567.64,0.459388
114,568.24,0.458822
116,568.92,0.458171
117,569.16,0.457944
118,570.29,0.456862
119,570.53,0.456639
120,570.71,0.456466
121,570.72,0.456457
122,571.19,0.456006
123,574.31,0.453035
124,575.55,0.451855
125,575.55,0.451855
126,575.55,0.451855
127,575.55,0.451855
128,572.75,0.454519
129,572.75,0.454519
130,572.75,0.454519
131,572.75,0.454519
132,572.76,0.454511
133,572.85,0.454429
134,572.85,0.454429
135,572.85,0.454429
136,572.85,0.454429
137,572.46,0.454798
138,571.86,0.455369
139,571.71,0.455514
140,571.67,0.455552
141,571.37,0.455843
142,571.27,0.455930
143,570.79,0.456388
144,570.36,0.456798
145,570.36,0.456799
146,567.93,0.459111
148,567.93,0.459111
149,567.93,0.459111
150,410.92,0.608645
151,401.22,0.617889
152,397.09,0.621820
155,368.45,0.649096
156,363.26,0.654042
157,360.38,0.656777
158,356.54,0.660435
159,348.69,0.667916
160,342.73,0.673594
161,342.73,0.673594
162,342.73,0.673594
163,342.73,0.673594
169,879.05,0.162810
170,879.05,0.162810
171,879.05,0.162810
172,879.05,0.162810
173,878.68,0.163166
174,878.04,0.163773
175,877.47,0.164319
176,876.65,0.165092
177,269.70,0.743145
178,264.13,0.748446
187,226.94,0.783870
188,224.25,0.786426
189,221.74,0.788821
190,217.84,0.792533
193,217.84,0.792533
194,217.84,0.792533
195,217.84,0.792533
197,878.48,0.163354
198,878.48,0.163354
199,878.48,0.163354
200,879.12,0.162745
201,879.12,0.162745
202,878.48,0.163354
207,877.87,0.163930
208,877.19,0.164577
213,136.59,0.869913
214,131.42,0.874836
215,127.98,0.878115
216,119.56,0.886136
217,117.22,0.888361
218,115.43,0.890070
220,115.43,0.890070
221,115.43,0.890070
222,115.43,0.890070
225,747.04,0.288534
226,781.69,0.255537
240,784.78,0.252586
241,804.20,0.234096
242,784.78,0.252586
243,781.69,0.255537
244,747.04,0.288534
245,636.08,0.394212
246,626.45,0.403384
247,609.66,0.419371
248,599.99,0.428585
249,588.07,0.439937
250,573.64,0.453678
251,565.53,0.461398
